Date,Open,High,Low,Close,Volume From,Volume To
03-01-2018,364.17,390,360,386,7682.85,2882263.88
04-01-2018,386,387.83,353.06,368.1,6907.58,2549353.88
05-01-2018,368.1,377.49,338.51,356.96,6603.8,2373221.72
06-01-2018,356.96,395.99,349.25,394,5803.59,2187493.83
07-01-2018,394,421,391,400.25,10338.61,4216955.6
08-01-2018,400.25,409.37,338.85,400.05,7838.84,2989272.54
09-01-2018,400.05,447.8,392.83,408.03,16230.8,6856462.8
10-01-2018,408.03,416.29,361.13,403.44,8605.12,3374462.7
11-01-2018,403.44,417,335,351.15,7327.91,2710448.72
12-01-2018,351.15,391.47,338.04,387.24,5936.01,2186900.14
13-01-2018,387.24,428.81,386.97,413.9,7342.86,3022626.78
14-01-2018,413.9,435,370,393.64,5540.54,2223938.47
15-01-2018,393.64,436.75,383.58,413,8131.41,3385088.07
16-01-2018,413,417,255,308.56,26042.09,8697104.29
17-01-2018,308.56,326.63,237.39,315,16965.33,4937019.52
18-01-2018,315,341.14,296.37,306.12,11932.04,3837350.45
19-01-2018,306.12,363.2,300.45,361.5,8804.11,2875718.02
20-01-2018,361.5,406,351,383.99,15468.76,5864199.46
21-01-2018,383.99,388,331,343.73,6293.88,2216316.92
22-01-2018,343.73,355,285,314,8481.15,2648638.21
23-01-2018,314,321.91,284,306.79,5623.95,1722350.06
24-01-2018,306.79,326.26,297.72,318.6,4157.18,1298426.61
25-01-2018,318.6,328,305.1,315.61,2366.46,748817.8
26-01-2018,315.61,328.91,288.11,324,5722.73,1779859.64
27-01-2018,324,334.72,308,325.93,3966.98,1284901.39
28-01-2018,325.93,341.25,321.01,332.99,2756.74,918542.44
29-01-2018,332.99,339.71,310.51,314,2766.56,889363.96
30-01-2018,314,316.7,268,275.59,8035.92,2303094.03
31-01-2018,275.59,284.12,266.26,273,2804.13,766762.71
01-02-2018,273,278.27,230,243.08,4202.56,1067157.62
02-02-2018,243.08,251.94,190.5,237,9961.77,2240055.54
03-02-2018,237,259.9,216.09,252.56,4142.38,1007274.57
04-02-2018,252.56,259,210.13,218.75,4904.23,1106369.1
05-02-2018,218.75,221.39,165.43,181.33,10898.67,2045740.28
06-02-2018,181.33,215.44,149.23,209,13300.05,2382687.06
07-02-2018,209,232.86,189.05,206.46,8811.14,1873981.63
08-02-2018,206.46,255,204.01,245.9,8584.69,2051300.87
09-02-2018,245.9,258.98,230.9,257.68,5262.36,1286892.74
10-02-2018,257.68,269.25,239,247.54,3438.08,874972.15
11-02-2018,247.54,247.54,216.32,227.67,4832.86,1105471.45
12-02-2018,227.67,251.8,227.33,247.66,3077.87,754706.73
13-02-2018,247.66,248.28,228.38,231,2330.08,546143.94
14-02-2018,231,274.9,231,274.53,7180.54,1856342.95
15-02-2018,274.53,300,260.26,296,5667.53,1573990.54
16-02-2018,296,298.61,275,293.42,3673.37,1056841.19
17-02-2018,293.42,330.04,289.18,320,6218.78,1965675.61
18-02-2018,320,320.98,286,293.54,6152.14,1860360.59
19-02-2018,293.54,317.59,290,314.15,2125.18,657471.4
20-02-2018,314.15,319,296.5,299.68,6856,2114831.14
21-02-2018,299.68,329.2,280.2,307.85,12515.4,3832339.9
22-02-2018,307.85,316,270.58,274.4,7264.75,2088710.93
23-02-2018,274.4,293.66,262.88,277.54,13536.99,3686997.92
24-02-2018,277.54,288.4,258,267.57,7510.9,2014511.66
